Status,Type,Application Number,License Number,Entity Name,Street,City,State,Zip Code,Latitude,Longitude,Georeference
Pending,Adult-Use Retail,OCMRETL-2023-001192,,Truly Green LLC,80-12 Surrey Pl.,Jamaica,NY,11432,40.72629023,-73.78907803,POINT (-73.78907803 40.72629023)
Active,RO Medical & Adult-Use,,MM1004D,"Curaleaf NY, LLC",107-18 70th Rd.,Forest Hills,NY,11375,40.72137512,-73.84530157,POINT (-73.84530157 40.72137512)
Pending,Adult-Use Retail,OCMRETL-2023-002224,,"Melyne, Inc",3461 E Tremont Ave,Bronx,NY,10465,40.832134,-73.82739995,POINT (-73.82739995 40.832134)
Active,RO Medical,,MM0702D,"Fiorello Pharmaceuticals, Inc.",2E 30th Street,New York,NY,10016,40.74583879,-73.98636384,POINT (-73.98636384 40.74583879)
Active,Adult-Use Retail,OCMRETL-2023-000808,OCM-RETL-24-000003,Rosedale Cannabis Dispensary LLC,90-67 Sutphin Blvd,Jamaica,NY,11435,40.7011402,-73.80779512,POINT (-73.80779512 40.7011402)
Active,Adult-Use Retail,OCMRETL-2023-002134,OCM-RETL-24-000144,Case Management Inc.,3169 Coney Island Ave,Brooklyn,NY,11235,40.57890317,-73.95963084,POINT (-73.95963084 40.57890317)
Pending,Adult-Use Retail,OCMRETL-2023-000660,,Idamis M Bueno,19 Green Ave,Brooklyn,NY,11238,40.6859873,-73.97249275,POINT (-73.97249275 40.6859873)
Pending,Adult-Use Retail,OCMRETL-2023-000151,,Dutchess Roots LLC,2615 South Rd,Poughkeepsie,NY,12601,41.66797607,-73.92969685,POINT (-73.92969685 41.66797607)
Active,CAURD Retail,OCMCAURDP-2023-000209,OCM-CAURD-24-000126,The Weed Shoppe INC.,4906 Arthur Kill Road,Staten Island,NY,10309,40.52346615,-74.23927198,POINT (-74.23927198 40.52346615)
Pending,CAURD Retail,OCMCAURDP-2023-000031,,Just a Little Higher LLC,24-15 Queens Plaza North,Long Island City,NY,11101,40.75104302,-73.94029256,POINT (-73.94029256 40.75104302)
Pending,Adult-Use Retail,OCMRETL-2023-000438,,MoxBeacon LLC,324 W Main St,Montour Falls,NY,14865,42.34613571,-76.84830134,POINT (-76.84830134 42.34613571)
Active,CAURD Retail,OCMCAURDP-2023-000026,OCM-CAURD-23-000027,Premier Earth corp.,1297 Hertel Ave,Buffalo,NY,14216,42.94767505,-78.85932095,POINT (-78.85932095 42.94767505)
Active,Adult-Use Microbusiness,OCMMICR-2023-000503,OCM-MICR-24-000015,"Glass House Farms, LLC",132 Cherry St,Ithaca,NY,14850,42.43723397,-76.51580065,POINT (-76.51580065 42.43723397)
Pending,Adult-Use Retail,OCMRETL-2023-000566,,Knox property group llc,220 W Water St,Elmira,NY,14901,42.0875984,-76.80755434,POINT (-76.80755434 42.0875984)
Active,Adult-Use Microbusiness,OCMMICR-2023-000006,OCM-MICR-24-000025,Newburgh Kush Factory,201 Ann St,Newburgh,NY,12550,41.49951635,-74.0159248,POINT (-74.0159248 41.49951635)
Pending,Adult-Use Retail,OCMRETL-2023-000856,,Joint Adventures LLC,1644 Deer Park Ave,Deer Park,NY,11729,40.75246054,-73.32587555,POINT (-73.32587555 40.75246054)
Active,Adult-Use Retail,OCMRETL-2023-001287,OCM-RETL-24-000113,Urban Herb LLC,1850 Union Rd Ste 4,West Seneca,NY,14224,42.85039104,-78.75459137,POINT (-78.75459137 42.85039104)
Active,CAURD Retail,OCMCAURDP-2023-000084,OCM-CAURD-24-000073,Puro vita enterprises inc.,288 Flushing Avenue,Brooklyn,NY,11205,40.69773315,-73.9643727,POINT (-73.9643727 40.69773315)
Active,Adult-Use Retail,OCMRETL-2023-001727,OCM-RETL-24-000040,"Roc Sole Sanctuary, LLC",1430 Dewey Ave,Rochester,NY,14615,43.19308629,-77.6387924,POINT (-77.6387924 43.19308629)
Pending,Adult-Use Retail,OCMRETL-2023-001452,,Liberty Bloom Inc.,1630 Richmond Rd,Staten Island,NY,10304,40.59027038,-74.10080964,POINT (-74.10080964 40.59027038)
Active,CAURD Retail,OCMCAURDP-2023-000198,OCM-CAURD-24-000103,"MyElectrician518.com, LLC",1164 State Rt. 29,Schuylerville,NY,12871,43.10826438,-73.60239588,POINT (-73.60239588 43.10826438)
Pending,Adult-Use Retail,OCMRETL-2023-000421,,"OLD GLORY BUDZ CO. , LLC",1037 Route 17,Southfields,NY,10975,41.24514629,-74.17536927,POINT (-74.17536927 41.24514629)
Active,CAURD Retail,OCMCAURDP-2023-000144,OCM-CAURD-24-000057,TEDG LLC,85 Suydam St,Brooklyn,NY,11221,40.69779335,-73.92938515,POINT (-73.92938515 40.69779335)
Pending,Adult-Use Retail,OCMRETL-2023-002188,,TJMJR LLC,440 S Riverside Ave Ste 9,Croton On Hudson,NY,10520,41.19380508,-73.87911405,POINT (-73.87911405 41.19380508)
Active,Adult-Use Retail,OCMRETL-2023-001383,OCM-RETL-24-000031,"The Green Hut, LLC",12187 State Route 9W,West Coxsackie,NY,12192,42.3753477,-73.83112817,POINT (-73.83112817 42.3753477)
Pending,CAURD Retail,OCMCAURDP-2024-000084,,Domenick Dicostanzo LLC,956 Jewett Ave,Staten Island,NY,10314,40.6127315,-74.1308057,POINT (-74.1308057 40.6127315)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000085,,Grass Roots Wellness NY LLC,350 W Commercial St,East Rochester,NY,14445,43.11490743,-77.49246767,POINT (-77.49246767 43.11490743)
Pending,Adult-Use Retail,OCMRETL-2023-002189,,Veterans for Cannabis LLC,101 Hamilton Ave,Brooklyn,NY,11231,40.68232048,-74.00520788,POINT (-74.00520788 40.68232048)
Pending,CAURD Retail,OCMCAURDP-2024-000080,,Piffords Inc,500 Highland Ave,Peekskill,NY,10566,41.29616074,-73.92004572,POINT (-73.92004572 41.29616074)
Active,Adult-Use Retail,OCMRETL-2023-000524,OCM-RETL-24-000118,"Mammoth Business, LLC",212 Ohio St,Buffalo,NY,14204,42.87107194,-78.87028877,POINT (-78.87028877 42.87107194)
Active,CAURD Retail,OCMCAURDP-2023-000146,OCM-CAURD-24-000052,Green Jungle Inc.,30-30 Steinway Street,Astoria,NY,11103,40.76311295,-73.9157133,POINT (-73.9157133 40.76311295)
Active,Adult-Use Retail,OCMRETL-2023-001890,OCM-RETL-24-000039,Island Leaf LLC,4515 Nesconset Hwy,Port Jefferson Station,NY,11776,40.91109559,-73.06234959,POINT (-73.06234959 40.91109559)
Pending,Adult-Use Retail,OCMRETL-2023-001470,,"Green Oasis, LLC",120 Broadway St,Buffalo,NY,14203,42.88664319,-78.86861178,POINT (-78.86861178 42.88664319)
Active,CAURD Retail,OCMCAURDP-2024-000022,OCM-CAURD-24-000128,Scott M General,"1503 Canandaigua Rd, Suite 3B & 3C",Macedon,NY,14502,43.06448986,-77.31994091,POINT (-77.31994091 43.06448986)
Active,Adult-Use Microbusiness,OCMMICR-2023-000206,OCM-MICR-24-000063,"Buffalo Cannabis Company, LLC",501 Amherst St,Buffalo,NY,14207,42.93975126,-78.88548491,POINT (-78.88548491 42.93975126)
Active,CAURD Retail,OCMCAURDP-2023-000098,OCM-CAURD-24-000056,7 Point Dispensary INC.,332 Northern Blvd,Albany,NY,12204,42.67149109,-73.75273874,POINT (-73.75273874 42.67149109)
Active,Adult-Use Retail,OCMRETL-2023-001056,OCM-RETL-24-000133,716 M.J. LLC,"1287 E. Delavan Ave., Store Right",Buffalo,NY,14215,42.92263902,-78.80914321,POINT (-78.80914321 42.92263902)
Active,CAURD Retail,OCMCAURDP-2023-000133,OCM-CAURD-24-000130,Brooklyn Organic Buds LLC,623 Bergen St,Brooklyn,NY,11238,40.6796237,-73.96889946,POINT (-73.96889946 40.6796237)
Active,RO Medical & Adult-Use,,MM1002D,"Curaleaf NY, LLC",8 North Plank Rd.,Newburgh,NY,12550,41.52037368,-74.02274998,POINT (-74.02274998 41.52037368)
Active,Adult-Use Retail,OCMRETL-2023-001074,OCM-RETL-24-000114,960 Bloomingdale Road LLC,960 Bloomingdale Rd Store #2,Staten Island,NY,10309,40.54754532,-74.22032144,POINT (-74.22032144 40.54754532)
Active,CAURD Retail,OCMCAURDP-2023-000068,OCM-CAURD-24-000062,So Vapes & Accessories,166-30 Jamaica Avenue,Jamaica,NY,11432,40.70595154,-73.7934607,POINT (-73.7934607 40.70595154)
Active,Adult-Use Microbusiness,OCMMICR-2023-000375,OCM-MICR-24-000066,Budding Bliss Farm LLC,310 Bulson Rd,Troy,NY,12180,42.76445289,-73.53979029,POINT (-73.53979029 42.76445289)
Pending,RO Medical & Adult-Use,,,"PharmaCann of New York, LLC.",2 Wade Road,Latham,NY,12110,42.75461136,-73.77770253,POINT (-73.77770253 42.75461136)
Pending,Adult-Use Retail,OCMRETL-2023-001673,,DAR Dispensary LLC,130 W Main St,Endicott,NY,13760,42.09508581,-76.0659163,POINT (-76.0659163 42.09508581)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000589,,AJ'S NATIVE WHOLESALE INC,118 87th St,Niagara Falls,NY,14304,43.07745818,-78.96325443,POINT (-78.96325443 43.07745818)
Active,CAURD Retail,OCMCAURDP-2023-000214,OCM-CAURD-24-000186,LAR MEMORABILIA LLC,6354 108th St,Queens,NY,11375,40.73346346,-73.84995269,POINT (-73.84995269 40.73346346)
Pending,Adult-Use Retail,OCMRETL-2023-000030,,CANNA Health and Wellness LLC,6075 E Henrietta Rd,Rush,NY,14543,42.99137011,-77.64478681,POINT (-77.64478681 42.99137011)
Active,Adult-Use Retail,OCMRETL-2023-002049,OCM-RETL-24-000072,Notorious Tree NY LLC,5211 Broadway St Ste 300,Lancaster,NY,14086,42.90066398,-78.67994138,POINT (-78.67994138 42.90066398)
Pending,Adult-Use Retail,OCMRETL-2023-000710,,DM420 Inc.,6519 Main St Unit B,Westport,NY,12993,44.184546,-73.435965,POINT (-73.435965 44.184546)
Pending,Adult-Use Retail,OCMRETL-2023-001413,,3714 34th LLC,3714 34th St,Long Island City,NY,11101,40.7535261,-73.92900925,POINT (-73.92900925 40.7535261)
Pending,Adult-Use Retail,OCMRETL-2023-001039,,"Greener, LLC",96A Main St,Phelps,NY,14532,42.95767742,-77.05746456,POINT (-77.05746456 42.95767742)
Pending,Adult-Use Retail,OCMRETL-2023-001750,,Brow & Body LLC,63 Welcher Ave,Peekskill,NY,10566,41.27094374,-73.93073271,POINT (-73.93073271 41.27094374)
Active,CAURD Retail,OCMCAURDP-2023-000053,OCM-CAURD-24-000101,Flower Power NYC Corp.,22 W 66th St,New York,NY,10023,40.7726262,-73.97939724,POINT (-73.97939724 40.7726262)
Pending,Adult-Use Retail,OCMRETL-2023-000742,,Paradise Cannabis LLC,1557 Fulton St,Brooklyn,NY,11216,40.67987245,-73.93899043,POINT (-73.93899043 40.67987245)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000070,,Lucas K Attebery,510 W 27th St,New York,NY,10001,40.75030394,-74.00271161,POINT (-74.00271161 40.75030394)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000536,,"LFG Distribution, LLC",3705 Harlem Rd,Cheektowaga,NY,14215,42.94450661,-78.7839762,POINT (-78.7839762 42.94450661)
Pending,Adult-Use Retail,OCMRETL-2023-001282,,"SARATOGA VAPOR SHOP, LLC",2124 Doubleday Ave # 2,Ballston Spa,NY,12020,43.01761027,-73.84345132,POINT (-73.84345132 43.01761027)
Pending,CAURD Retail,OCMCAURDP-2023-000234,,"Kushmart NY, LLC",1413 Kings Hwy,Brooklyn,NY,11229,40.60849503,-73.95903834,POINT (-73.95903834 40.60849503)
Active,CAURD Retail,OCMCAURDP-2023-000027,OCM-CAURD-23-000037,The Grass Hole Cannabis,779 State Route 3,Plattsburgh,NY,12901,44.69553512,-73.52448193,POINT (-73.52448193 44.69553512)
Active,CAURD Retail,OCMCAURDP-2023-000241,OCM-CAURD-24-000176,"Vladimir Bautista, LLC",151 Dyckman St #159,New York,NY,10040,40.86331082,-73.92575808,POINT (-73.92575808 40.86331082)
Active,Adult-Use Retail,OCMRETL-2023-001245,OCM-RETL-24-000087,CalKnap Inc.,807 Washington St,Peekskill,NY,10566,41.27673547,-73.92761019,POINT (-73.92761019 41.27673547)
Pending,Adult-Use Retail,OCMRETL-2023-000146,,Green Galore LLC,1930 Route 300,Newburgh,NY,12550,41.5712764,-74.09214959,POINT (-74.09214959 41.5712764)
Pending,Adult-Use Retail,OCMRETL-2023-001965,,Yurplegreene Holdings NY LLC,195 Morgan Ave,Brooklyn,NY,11237,40.71078893,-73.93373336,POINT (-73.93373336 40.71078893)
Active,CAURD Retail,OCMCAURDP-2023-000199,OCM-CAURD-24-000140,Nuna Harvest LLC,696 Locust St,Mount Vernon,NY,10552,40.92615501,-73.83937468,POINT (-73.83937468 40.92615501)
Active,Adult-Use Retail,OCMRETL-2023-002003,OCM-RETL-24-000126,CannaBliss Recreational Marijuana Dispensary LLC,63-65 Main Street,Fredonia,NY,14063,42.44161749,-79.32844778,POINT (-79.32844778 42.44161749)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000490,,"Goldfinch Flora, LLC",2388 County Highway 107,Amsterdam,NY,12010,43.025866,-74.143647,POINT (-74.143647 43.025866)
Active,Adult-Use Microbusiness,OCMMICR-2023-000166,OCM-MICR-24-000060,Pantheon Perspective LLC,2035 West Road,Boonville,NY,13309,43.51626733,-75.36486049,POINT (-75.36486049 43.51626733)
Active,Adult-Use Retail,OCMRETL-2023-001102,OCM-RETL-24-000014,"4081 Companies, LLC",772 Nostrand Ave,Brooklyn,NY,11216,40.67223878,-73.95035283,POINT (-73.95035283 40.67223878)
Pending,Adult-Use Retail,OCMRETL-2023-001035,,873 Shyamal International Inc.,87 N Country Rd Ste 3,Miller Place,NY,11764,40.95819646,-73.00379777,POINT (-73.00379777 40.95819646)
Active,CAURD Retail,OCMCAURDP-2023-000002,OCM-CAURD-23-000002,Smacked LLC,144 Bleecker St,New York,NY,10012,40.72821019,-73.9993849,POINT (-73.9993849 40.72821019)
Pending,Adult-Use Retail,OCMRETL-2023-002084,,"Purebliss Cannabis Solutions, INC",2734 Sedgwick Avenue,Bronx,NY,10468,40.87050595,-73.90262291,POINT (-73.90262291 40.87050595)
Pending,Adult-Use Retail,OCMRETL-2023-001355,,Deep XY Holding LLC,1 Michael Avenue,Farmingdale,NY,11735,40.72690883,-73.42416675,POINT (-73.42416675 40.72690883)
Active,RO Medical & Adult-Use,,MM0104D,"PharmaCann of New York, LLC.",10 Executive Park Drive.,Albany,NY,12203,42.68397823,-73.83740939,POINT (-73.83740939 42.68397823)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000574,,Stoned in Brooklyn Inc.,8334 Woodhaven Blvd,Glendale,NY,11385,40.70228861,-73.85536833,POINT (-73.85536833 40.70228861)
Pending,Adult-Use Retail,OCMRETL-2023-001244,,SELDEN DRIVE-THROUGH CONVENIENCE INC,729 Middle Country Rd,Selden,NY,11784,40.86617858,-73.03820989,POINT (-73.03820989 40.86617858)
Active,Adult-Use Microbusiness,OCMMICR-2023-000478,OCM-MICR-24-000011,LeadFarmer Inc.,1886 County Road 39,Bainbridge,NY,13733,42.2972106,-75.42578287,POINT (-75.42578287 42.2972106)
Active,Adult-Use Microbusiness,OCMMICR-2023-000512,OCM-MICR-24-000093,Oak Queens LLC,187 Plains Rd,New Paltz,NY,12561,41.72623536,-74.10518067,POINT (-74.10518067 41.72623536)
Active,CAURD Retail,OCMCAURDP-2023-000202,OCM-CAURD-24-000139,Leafy Wonders LLC,956 South First Street,Fulton,NY,13069,43.30883251,-76.39939255,POINT (-76.39939255 43.30883251)
Pending,Adult-Use Retail,OCMRETL-2023-001746,,DISPO/BK LLC,584 4th Ave,Brooklyn,NY,11215,40.66585243,-73.99256743,POINT (-73.99256743 40.66585243)
Active,RO Medical,,MM0805D,"Valley Agriceuticals, LLC",4776 Commercial Drive,New Hartford,NY,13413,43.08619468,-75.31519918,POINT (-75.31519918 43.08619468)
Active,CAURD Retail,OCMCAURDP-2023-000173,OCM-CAURD-24-000053,Adirondack Ad Vantage LLC,4171 State Route 11,Malone,NY,12953,44.86773302,-74.24820203,POINT (-74.24820203 44.86773302)
Pending,Adult-Use Retail,OCMRETL-2023-001403,,Big Moe's Automotive Repair LLC,577 Forest Ave,Buffalo,NY,14222,42.92787422,-78.87823925,POINT (-78.87823925 42.92787422)
Active,CAURD Retail,OCMCAURDP-2023-000147,OCM-CAURD-24-000172,David Carl Musumeci,109 E Taft Rd,North Syracuse,NY,13212,43.12281418,-76.1405241,POINT (-76.1405241 43.12281418)
Pending,Adult-Use Retail,OCMRETL-2023-001777,,Carry-On Cannabis NY LLC,8529 Niagara Falls Blvd,Niagara Falls,NY,14304,43.09085326,-78.9659136,POINT (-78.9659136 43.09085326)
Pending,Adult-Use Retail,OCMRETL-C-2024-000713,,Kaur Consulting LLC,1871 Old Country Rd,Riverhead,NY,11901,40.92276586,-72.71263944,POINT (-72.71263944 40.92276586)
Active,Adult-Use Microbusiness,OCMMICR-2023-000605,OCM-MICR-24-000009,Creative Balance Group LLC,1402 Blondell Ave Unit C,Bronx,NY,10461,40.8430351,-73.84283996,POINT (-73.84283996 40.8430351)
Pending,CAURD Retail,OCMCAURDP-2023-000230,,420 NY LLC,2431 Grand Concourse,Bronx,NY,10468,40.86104485,-73.89819619,POINT (-73.89819619 40.86104485)
Active,CAURD Retail,OCMCAURDP-2023-000125,OCM-CAURD-24-000109,Gratitude Buds Dispensary LLC,814 NY-52,Fishkill,NY,12524,41.52582718,-73.9209069,POINT (-73.9209069 41.52582718)
Pending,Adult-Use Retail,OCMRETL-2023-001654,,Mikon LLC,38 Meserole St,Brooklyn,NY,11206,40.70747684,-73.9489513,POINT (-73.9489513 40.70747684)
Active,Adult-Use Retail,OCMRETL-2023-000293,OCM-RETL-24-000049,Amber Jane LLC,1577 State Route 17B,White Lake,NY,12786,41.67480271,-74.8444397,POINT (-74.8444397 41.67480271)
Active,Adult-Use Microbusiness,OCMMICR-C-2024-000001,OCM-MICR-24-000030,Gaea Design and Management LLC,13424 Northern Blvd.,Flushing,NY,11354,40.76251645,-73.83414014,POINT (-73.83414014 40.76251645)
Pending,Adult-Use Retail,OCMRETL-2023-002068,,296 Retail Venture LLC,296 Route 59,Airmont,NY,10901,41.11235763,-74.13514973,POINT (-74.13514973 41.11235763)
Pending,Adult-Use Retail,OCMRETL-2023-000634,,Greenerie LLC,301 Clifton Pl,Brooklyn,NY,11216,40.689201,-73.95125672,POINT (-73.95125672 40.689201)
Pending,Adult-Use Microbusiness,OCMMICR-C-2024-000211,,"Triple P Cannabis Farms, LLC",772 State Route 7,Port Crane,NY,13833,42.16198691,-75.76970389,POINT (-75.76970389 42.16198691)
Active,CAURD Retail,OCMCAURDP-2024-000066,OCM-CAURD-24-000192,Frenchie Herb LLC,81 Wolf Road,Colonie,NY,12205,42.71534069,-73.81156562,POINT (-73.81156562 42.71534069)
Active,CAURD Retail,OCMCAURDP-2023-000035,OCM-CAURD-23-000017,Aaron Van Camp,501 Main St,Buffalo,NY,14203,42.88737968,-78.87375864,POINT (-78.87375864 42.88737968)
Pending,Adult-Use Retail,OCMRETL-2023-000062,,"LakeHouse Cannabis, LLC",156 Clinton Ave,Cortland,NY,13045,42.60764883,-76.16697754,POINT (-76.16697754 42.60764883)
Pending,CAURD Retail,OCMCAURDP-2023-000226,,E & J BTQ CORP,85 Franklin St,New York,NY,10013,40.71795881,-74.00477887,POINT (-74.00477887 40.71795881)
Pending,Adult-Use Retail,OCMRETL-2023-000238,,LYDIG SUPERMARKET INC,711 Lydig Ave,Bronx,NY,10462,40.85454014,-73.86714771,POINT (-73.86714771 40.85454014)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000230,,RHW,6399 Transit Rd,East Amherst,NY,14051,43.02196171,-78.69685865,POINT (-78.69685865 43.02196171)
Pending,Adult-Use Retail,OCMRETL-2023-001228,,"Brightway Services, Inc",18 Apex Rd,Hancock,NY,13783,42.05673737,-75.25446767,POINT (-75.25446767 42.05673737)
Active,Adult-Use Retail,OCMRETL-2023-001764,OCM-RETL-24-000110,"October Basics, LLC",4790 Commercial Dr,New Hartford,NY,13413,43.08620109,-75.31518832,POINT (-75.31518832 43.08620109)
Pending,RO Medical,,,Hudson Health Extracts,552 Main Street,New Rochelle,NY,10801,40.90776763,-73.78318711,POINT (-73.78318711 40.90776763)
Active,CAURD Retail,OCMCAURDP-2024-000038,OCM-CAURD-24-000156,A Little Place to Relax LLC,698 2nd Ave,New York,NY,10016,40.74711678,-73.97408789,POINT (-73.97408789 40.74711678)
Pending,Adult-Use Microbusiness,OCMMICR-C-2024-000144,,HappyHealing420 LLC,69 Wilcox Rd,Fulton,NY,13069,43.2752423,-76.39805966,POINT (-76.39805966 43.2752423)
Active,Adult-Use Microbusiness,OCMMICR-2023-000377,OCM-MICR-24-000035,Especially Green by GSLF LLC,340 Collabeck Rd,Feura Bush,NY,12067,42.57114347,-73.87637702,POINT (-73.87637702 42.57114347)
Pending,Adult-Use Retail,OCMRETL-2023-002081,,CLF BH LLC,60 N 1st St,Brooklyn,NY,11249,40.71647277,-73.96426044,POINT (-73.96426044 40.71647277)
Pending,Adult-Use Retail,OCMRETL-2023-000410,,THE TRIPLE BBB LLC,1185 Yonkers Ave Ste 2A,Yonkers,NY,10704,40.9147582,-73.85213927,POINT (-73.85213927 40.9147582)
Pending,Adult-Use Retail,OCMRETL-2023-001779,,"Rosebudz, Inc.",1146 NY-32,Rosendale,NY,12472,41.98581689,-73.9691646,POINT (-73.9691646 41.98581689)
Pending,CAURD Retail,OCMCAURDP-2024-000054,,Canna Life LLC,1330 Mount Hope Ave,Rochester,NY,14620,43.12420633,-77.6176687,POINT (-77.6176687 43.12420633)
Active,RO Medical & Adult-Use,,MM0604D,"NYCANNA, LLC",192 Seneca Street,Buffalo,NY,14204,42.87944236,-78.86898427,POINT (-78.86898427 42.87944236)
Active,Adult-Use Microbusiness,OCMMICR-2023-000451,OCM-MICR-24-000102,Upstate Haze LLC,1280 Dryden Rd,Ithaca,NY,14850,42.4670468,-76.41181397,POINT (-76.41181397 42.4670468)
Pending,Adult-Use Retail,OCMRETL-2023-001037,,Exercise Express LLC,1473 Norton St # 1479,Rochester,NY,14621,43.18732315,-77.58320899,POINT (-77.58320899 43.18732315)
Active,CAURD Retail,OCMCAURDP-2024-000068,OCM-CAURD-24-000182,Juniper NY LLC,229 Avenue B NY,New York,NY,10009,40.7288737,-73.97834718,POINT (-73.97834718 40.7288737)
Pending,Adult-Use Retail,OCMRETL-2023-001201,,ASkone's LLC,743 Central Park Ave,Yonkers,NY,10704,40.92794146,-73.85787304,POINT (-73.85787304 40.92794146)
Active,Adult-Use Retail,OCMRETL-C-2024-000032,OCM-RETL-24-000117,BUDDEEZ LLC,1460 Lyell Ave Suite 200,Rochester,NY,14606,43.16472372,-77.66404497,POINT (-77.66404497 43.16472372)
Active,CAURD Retail,OCMCAURDP-2023-000065,OCM-CAURD-24-000047,New York City Cannabis Exchange Corp.,248-09 Jericho Turnpike,Bellerose,NY,11426,40.72621389,-73.71807569,POINT (-73.71807569 40.72621389)
Pending,Adult-Use Retail,OCMRETL-2023-001719,,Pramukh 43,4347 Kissena Blvd,Flushing,NY,11355,40.75468264,-73.82365377,POINT (-73.82365377 40.75468264)
Active,CAURD Retail,OCMCAURDP-2023-000109,OCM-CAURD-24-000071,Weed Growers From Seed To Stone llc,533 5th ave,Brooklyn,NY,11215,40.66618546,-73.98870532,POINT (-73.98870532 40.66618546)
Pending,CAURD Retail,OCMCAURDP-2024-000032,,"Lucky Green Ladies NY, LLC",365 S Wall St,Kingston,NY,12401,41.92366369,-74.01230497,POINT (-74.01230497 41.92366369)
Active,Adult-Use Retail,OCMRETL-2023-000285,OCM-RETL-24-000077,"Cannabis Group NY, LLC",14518 14th Ave,Whitestone,NY,11357,40.78684704,-73.82211994,POINT (-73.82211994 40.78684704)
Active,CAURD Retail,OCMCAURDP-2023-000004,OCM-CAURD-23-000003,The Doe Store LLC,835 Broadway,New York,NY,10003,40.73392666,-73.99103408,POINT (-73.99103408 40.73392666)
Active,CAURD Retail,OCMCAURDP-2023-000161,OCM-CAURD-24-000095,BZD Enterprises LLC,1102 Bedford Ave,Brooklyn,NY,11216,40.68702428,-73.95471794,POINT (-73.95471794 40.68702428)
Pending,Adult-Use Retail,OCMRETL-2023-001642,,Sessco Corp.,115 Main St,East Rochester,NY,14445,43.11402672,-77.48459679,POINT (-77.48459679 43.11402672)
Pending,CAURD Retail,OCMCAURDP-2024-000015,,Beyond Beleaf NY INC,4462 Middle Country Rd,Calverton,NY,11933,40.92821728,-72.77911949,POINT (-72.77911949 40.92821728)
Active,CAURD Retail,OCMCAURDP-2023-000106,OCM-CAURD-24-000059,NLDISPO,90 Broadway,Menands,NY,12204,42.68073058,-73.7328298,POINT (-73.7328298 42.68073058)
Active,Adult-Use Retail,OCMRETL-2023-001420,OCM-RETL-24-000170,CBJ Retail LLC,1019 Surf Ave,Brooklyn,NY,11224,40.57551517,-73.97825118,POINT (-73.97825118 40.57551517)
Active,CAURD Retail,OCMCAURDP-2023-000006,OCM-CAURD-23-000005,D-Andrews LLC,1613 Union Street,Schenectady,NY,12309,42.80496041,-73.90495899,POINT (-73.90495899 42.80496041)
Active,Adult-Use Retail,OCMRETL-2023-001399,OCM-RETL-24-000012,RawLeaf Enterprises LLC,364 Broadway,Newburgh,NY,12550,41.50096431,-74.02425611,POINT (-74.02425611 41.50096431)
Pending,CAURD Retail,OCMCAURDP-2024-000051,,ZIL ZAL INC,1260 Castle Hill Avenue,Bronx,NY,10462,40.83353818,-73.85136322,POINT (-73.85136322 40.83353818)
Active,CAURD Retail,OCMCAURDP-2023-000086,OCM-CAURD-24-000173,Green Empire Wellness LLC,465 Forest Avenue,Staten Island,NY,10301,40.63071812,-74.10495924,POINT (-74.10495924 40.63071812)
Active,CAURD Retail,OCMCAURDP-2023-000087,OCM-CAURD-24-000051,Are We Good Enterprises Inc.,154 Vanderbilt Avenue,Brooklyn,NY,11205,40.69300341,-73.96988403,POINT (-73.96988403 40.69300341)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000323,,Patrick S Chesney,17 W Main St,Cuba,NY,14727,42.21715216,-78.27616101,POINT (-78.27616101 42.21715216)
Pending,Adult-Use Retail,OCMRETL-2023-000214,,Flynnstoned Corporation,683 State Fair Blvd.,Syracuse,NY,13209,43.08334117,-76.23266572,POINT (-76.23266572 43.08334117)
Active,Adult-Use Retail,OCMRETL-2023-001071,OCM-RETL-24-000134,Windy Hill Wellness 312 LLC,106 Main St,Greenwich,NY,12834,43.09005243,-73.49920317,POINT (-73.49920317 43.09005243)
Pending,Adult-Use Retail,OCMRETL-2023-000098,,WNY Cannabis Co LLC,4232 Delaware Ave,Tonawanda,NY,14150,42.99975704,-78.87511034,POINT (-78.87511034 42.99975704)
Active,RO Medical & Adult-Use,,MM0903D,"Citiva Medical, LLC",338 New Dorp Lane,Staten Island,NY,10306,40.57124944,-74.11133809,POINT (-74.11133809 40.57124944)
Active,RO Medical & Adult-Use,,MM0704D,"Fiorello Pharmaceuticals, Inc.",556 Jefferson Road,Rochester,NY,14623,43.08713396,-77.63027292,POINT (-77.63027292 43.08713396)
Pending,Adult-Use Microbusiness,OCMMICR-2024-000014,,Grub Bud LLC,1708 Broadway,Schenectady,NY,12306,42.79924695,-73.96121056,POINT (-73.96121056 42.79924695)
Pending,Adult-Use Retail,OCMRETL-2023-001050,,"Annie,Miguel & sons inc.",8611 Jamaica Ave,Woodhaven,NY,11421,40.69263867,-73.85802858,POINT (-73.85802858 40.69263867)
